Designator,Val,Package,MidX,MidY,Rotation,Layer
AO3403A1,~,AO3403A,130.7125,-121.635,0,top
AO3403A2,~,AO3403A,116.6725,-115.485,0,top
AO3403A3,~,AO3403A,116.2025,-105.205,0,top
AO3403A4,~,AO3403A,172.7475,-77.175,180,top
AO3403A5,~,AO3403A,172.9825,-123.115,0,top
AO3403A6,~,AO3403A,154.1175,-115.745,180,top
AO3403A7,~,AO3403A,141.2875,-114.555,180,top
AO3403A8,~,AO3403A,102.025,-100.9375,90,top
C1,0.22u,C_0402_1005Metric,107.25,-96.75,-90,top
C2,0.1u,C_0402_1005Metric,107.25,-99.77,90,top
IC1,SN74LVC2G04DBVR,SOT-23-6,176.25,-96.75,-90,top
IC2,SN74LVC2G04DBVR,SOT-23-6,184.75,-86.25,-90,top
IC3,SN74LVC2G32DCURG4,VSSOP-8_2.3x2mm_P0.5mm,156.5,-76.25,90,top
IC4,"74HCT11PW,118",SOIC127P600X175-14N - IC4,134.75,-76,-90,top
IC5,NL17SZ11DBVT1G,SOT-363_SC-70-6,148,-76.25,90,top
IC6,TC7W08FU,SSOP-8_2.95x2.8mm_P0.65mm,164.25,-75.75,0,top
IC7,LM7805MPX_NOPB,SOT230P700X180-4N,112.9,-98.2,0,top
J1,B4B-EH-A_LF__SN_,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,191.58,-92.8,90,top
J2,691216510002S,691216510002S,157.28,-123.78,180,top
J3,691216510002S,691216510002S,138.88,-123.87,180,top
J4,691216510002S,691216510002S,103.93,-109.51,90,top
J5,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,103.5,-85.42,0,top
J6,691216510002S,691216510002S,116.54,-76,0,top
Q1,AO3400A,SOT95P280X125-3N,185,-116.5,0,top
Q2,AO3400A,SOT95P280X125-3N,182.495,-104.8,180,top
Q3,AO3400A,SOT95P280X125-3N,181.86,-94.53,180,top
Q4,AO3400A,SOT95P280X125-3N,126.255,-125.8,0,top
Q5,AO3400A,SOT95P280X125-3N,112,-119,0,top
Q6,AO3400A,SOT95P280X125-3N,112,-108.5,0,top
Q7,AO3400A,SOT95P280X125-3N,177,-75,180,top
Q8,AO3400A,SOT95P280X125-3N,168.5,-125.25,0,top
Q9,AO3400A,AO3403A,150.8475,-115.725,180,top
Q10,AO3400A,AO3403A,138.0875,-114.585,180,top
Q11,AO3400A,AO3403A,101.9575,-98.705,180,top
R1,100R,R_0603_1608Metric,125,-118,0,top
R2,100R,R_0603_1608Metric,170,-114.21153,180,top
R3,100R,R_0603_1608Metric,170,-108.63461,180,top
R4,100R,R_0603_1608Metric,170,-86.32693,180,top
R5,100R,R_0603_1608Metric,170,-91.90385,180,top
R6,100R,R_0603_1608Metric,170,-97.48077,180,top
R7,100R,R_0603_1608Metric,170,-103.05769,180,top
R8,100R,R_0603_1608Metric,125,-95.025646,0,top
R9,100R,R_0603_1608Metric,125,-89.282058,0,top
R10,100R,R_0603_1608Metric,125,-83.53847,0,top
R11,100R,R_0603_1608Metric,125,-100.769234,0,top
R12,100R,R_0603_1608Metric,125,-106.512822,0,top
R13,100R,R_0603_1608Metric,125,-112.25641,0,top
R14,82R,R_0603_1608Metric,170,-117,180,top
R15,82R,R_0603_1608Metric,170,-111.42307,180,top
R16,82R,R_0603_1608Metric,170,-105.84615,180,top
R17,82R,R_0603_1608Metric,170,-83.53847,180,top
R18,82R,R_0603_1608Metric,170,-89.11539,180,top
R19,82R,R_0603_1608Metric,170,-94.69231,180,top
R20,82R,R_0603_1608Metric,170,-100.26923,180,top
R21,82R,R_0603_1608Metric,125,-97.89744,0,top
R22,82R,R_0603_1608Metric,125,-92.153852,0,top
R23,82R,R_0603_1608Metric,125,-86.410264,0,top
R24,82R,R_0603_1608Metric,125,-103.641028,0,top
R25,82R,R_0603_1608Metric,125,-109.384616,0,top
R26,82R,R_0603_1608Metric,125,-115.128204,0,top
R27,82R,R_0603_1608Metric,147.5,-124.5,180,top
R28,10,R_0603_1608Metric,184.75,-113.25,180,top
R29,10k,R_0603_1608Metric,181.25,-116.5,90,top
R30,10k,R_0603_1608Metric,185,-119.25,180,top
R31,10,R_0603_1608Metric,187,-106.925,90,top
R32,10k,R_0603_1608Metric,186.82,-103.8,0,top
R33,10k,R_0603_1608Metric,182.5,-108.25,0,top
R34,10,R_0603_1608Metric,187.23,-94.41,-90,top
R35,10k,R_0603_1608Metric,185.25,-94.41,-90,top
R36,10k,R_0603_1608Metric,182.175,-91.75,0,top
R37,10,R_0603_1608Metric,126.43,-122.5,180,top
R38,10k,R_0603_1608Metric,122.25,-126,90,top
R39,10k,R_0603_1608Metric,130.255,-126.05,-90,top
R40,10,R_0603_1608Metric,111.835,-115.61,180,top
R41,10k,R_0603_1608Metric,108.41,-118.785,90,top
R42,10k,R_0603_1608Metric,116.66,-119.36,0,top
R43,10,R_0603_1608Metric,112,-105,180,top
R44,10k,R_0603_1608Metric,111.86,-111.63,180,top
R45,10k,R_0603_1608Metric,116.25,-109.5,0,top
R46,10,R_0603_1608Metric,177.505,-77.8,0,top
R47,10k,R_0603_1608Metric,180.255,-75.05,-90,top
R48,10k,R_0603_1608Metric,172.68,-73.8,180,top
R49,10,R_0603_1608Metric,168.245,-121.95,180,top
R50,10k,R_0603_1608Metric,164.21,-123.41,90,top
R51,10k,R_0603_1608Metric,172.995,-126.45,0,top
R52,10,R_0603_1608Metric,148.95,-112.09,180,top
R53,10k,R_0603_1608Metric,148.03,-115.21,90,top
R54,10k,R_0603_1608Metric,152.7,-112.04,180,top
R55,100R,R_0603_1608Metric,157.56,-116.73,0,top
R56,10,R_0603_1608Metric,141.59,-111.06,180,top
R57,10k,R_0603_1608Metric,135.79,-115.615,90,top
R58,10k,R_0603_1608Metric,144.25,-113.46,90,top
R59,100R,R_0603_1608Metric,141.65,-116.51,0,top
R60,10,R_0603_1608Metric,104.25,-95.59,90,top
R61,10k,R_0603_1608Metric,100.34,-95.05,0,top
R62,10k,R_0603_1608Metric,105.61,-100.77,90,top
R63,100R,R_0603_1608Metric,100.12,-100.32,-90,top
RS-3535MWAR1,~,RS-3535MWAR,162,-115,180,top
RS-3535MWAR2,~,RS-3535MWAR,157,-110,180,top
RS-3535MWAR3,~,RS-3535MWAR,152,-105,180,top
RS-3535MWAR4,~,RS-3535MWAR,162,-86,180,top
RS-3535MWAR5,~,RS-3535MWAR,157,-90.7,180,top
RS-3535MWAR6,~,RS-3535MWAR,152,-95.25,180,top
RS-3535MWAR7,~,RS-3535MWAR,142,-95.25,0,top
RS-3535MWAR8,~,RS-3535MWAR,137,-90.7,0,top
RS-3535MWAR9,~,RS-3535MWAR,132,-86,0,top
RS-3535MWAR10,~,RS-3535MWAR,142,-105,0,top
RS-3535MWAR11,~,RS-3535MWAR,137,-110,0,top
RS-3535MWAR12,~,RS-3535MWAR,132,-115,0,top
RS-3535MWAR13,~,RS-3535MWAR,147,-100,180,top
RS-3535MWAR14,~,RS-3535MWAR,147.5,-121,0,top
